1113	2	
1113	2	
1112	1	
1112	1	
1112	0	
1107	1	
1107	1	
1106	1	
1106	2	
1107	4	
1112	4	
1113	4	
1118	4	
1118	3	
1118	2	
1118	2	
1118	2	
1118	2	
1121	1	
1115	0	
1115	0	
1110	0	
1105	0	
1105	0	
1105	1	
1105	1	
1105	2	
1105	2	
1105	2	
1105	2	
1105	2	
1105	2	
1105	2	
1105	3	
1105	2	
1080	3	
1080	3	
1080	4	
1081	4	
1086	4	
1087	4	
1088	3	
1088	0	
1087	0	
1082	0	
1082	2	
1082	3	
1081	1	
1081	0	
1081	1	
1081	1	
1081	2	
1081	3	
1081	3	
1081	4	
1082	3	
1082	1	
1082	0	
1081	1	
1081	1	
1081	2	
1081	2	
956	2	
956	2	
956	2	
956	2	
956	2	
956	2	
956	2	
931	2	
931	2	
931	2	
932	2	
932	2	
932	2	
932	1	
932	1	
927	1	
927	1	
926	2	
926	2	
926	2	
926	2	
926	2	
926	2	
931	2	
931	2	
931	2	
931	2	
931	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	2	
936	3	
936	3	
937	4	
942	4	
942	4	
943	3	
